"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1865785606749745658","Sun Dec 08 15:48:47 +0000 2024","0","kapann ya gacoan ada menu mie kuah","1865785606749745658","","","in","","0","1","0","https://x.com/gimmyjen/status/1865785606749745658","1213698680768745475","gimmyjen"
"1865780966549274693","Sun Dec 08 15:36:24 +0000 2024","0","@curemerain kaga mau tuker sama mie gacoan kah teh aku mantan sano ini kaga kebagian masalahnya","1865782490344128643","","curemerain","in","YOONMIN 🍻","0","0","0","https://x.com/sambatera_/status/1865782490344128643","1744433615705165827","sambatera_"
"1865772026033746064","Sun Dec 08 15:17:11 +0000 2024","0","@tuskpir_ngiler Level mie gacoan aja kudu gacha ","1865777654047367426","","tuskpir_ngiler","in","she/her, 20+","0","0","0","https://x.com/albeluwmi/status/1865777654047367426","1777362667629670400","albeluwmi"
"1865775225960620348","Sun Dec 08 15:07:32 +0000 2024","0","Gmna cara mengubah rasa sdih mnjadi mie gacoan","1865775225960620348","","","in","She/her","0","0","0","https://x.com/ohayzou/status/1865775225960620348","1856677689417244672","ohayzou"
"1865731729425850815","Sun Dec 08 15:01:31 +0000 2024","0","@nartupz kurang tau yh kalo dimsumnya cuma kalo mie nya enak gacoan","1865773710206251414","","nartupz","in","pluto","0","1","0","https://x.com/kags__9/status/1865773710206251414","1002133834282881024","kags__9"
"1865766045015027992","Sun Dec 08 14:57:30 +0000 2024","2","@el_ambatukam gue udh gk percaya erdogan lagi semenjak tahu turki ternyata sekuler bgtt sampe org turki nya aja shock lihat iklan shampo hijab diindo...Katanya klu diturki jgnkan iklan hijab cewek hijab aja susah kerja ditoko2 sejenis minimarket/mie gacoan karena hijabnya","1865772698888233358","","el_ambatukam","in","","0","1","1","https://x.com/Taka_99__77/status/1865772698888233358","1530928416739893248","Taka_99__77"
"1865765006207603173","Sun Dec 08 14:26:56 +0000 2024","0","in my opinion kalo untuk mie lebih enak punya nya gacoan but untuk udang keju lebih enak punya nya kober idk maybe dari segi tepungnya lbih enak kali ya https://t.co/72aYOk6Lj8","1865765006207603173","https://pbs.twimg.com/media/GeSHYXNawAAE93k.jpg","","in","Malang, Jawa Timur","0","0","0","https://x.com/giveurchance/status/1865765006207603173","1435280215765184515","giveurchance"
"1865763754958532823","Sun Dec 08 14:23:13 +0000 2024","0","ternyata mie gacoan bisa naikin asam lambung T_T aku ga pernah makan tadi siang ngide pengen nyoba dan ternyata tidak cocok dgn perutku yg suka sayuran ini","1865764069711716663","","seenearsea","in","","0","0","0","https://x.com/seenearsea/status/1865764069711716663","1722763332258840576","seenearsea"
"1865561620862382375","Sun Dec 08 14:22:39 +0000 2024","0","@buduamit @yhakgabut @BknPacarKmu Gue lagi sakit harus lu pada bawain gue mie gacoan lagi kerumah","1865763930032980324","","buduamit","in","","0","2","0","https://x.com/Dhitajonsh/status/1865763930032980324","123269946","Dhitajonsh"
"1865763754958532823","Sun Dec 08 14:21:58 +0000 2024","0","aku ga mau makan mie gacoan lagi.","1865763754958532823","","","in","","0","1","0","https://x.com/seenearsea/status/1865763754958532823","1722763332258840576","seenearsea"
"1865762459371679799","Sun Dec 08 14:16:49 +0000 2024","0","pecel ayam apa mie gacoan","1865762459371679799","","","in","","0","0","0","https://x.com/zeromilez/status/1865762459371679799","740586104","zeromilez"
"1865760509771018312","Sun Dec 08 14:09:04 +0000 2024","0","Sambil nonton Leicester vs Brighton mending Pesan Mie Gacoan di ShopeeFood ada Voucher Diskon 50% loh! Cek disini keburu habis! https://t.co/L8Ap5w94Wy Foodies Order Info makan malam","1865760509771018312","","","in","Jakarta","0","0","0","https://x.com/asal_info/status/1865760509771018312","225931340","asal_info"
"1865759762006352035","Sun Dec 08 14:06:06 +0000 2024","0","Pesan Mie Gacoan di ShopeeFood ada Voucher Diskon 50% loh! Cek disini keburu habis! https://t.co/QsXuksYkZ3 Mie ayam Makam malam Pesan online","1865759762006352035","","","in","Jakarta","0","0","0","https://x.com/asal_info/status/1865759762006352035","225931340","asal_info"
"1865758684334436701","Sun Dec 08 14:01:49 +0000 2024","0","kenapa mie gacoan sekarang yg lvl 1 pedesnya ga ngotak njir berasa makan yg lvl 4","1865758684334436701","","","in","","0","0","0","https://x.com/anjaylebewww/status/1865758684334436701","1798658923140149249","anjaylebewww"
"1865758161384452504","Sun Dec 08 13:59:44 +0000 2024","0","masak mie apa bli gacoan y","1865758161384452504","","","in","bekasi, ina","0","5","0","https://x.com/rnsnjun/status/1865758161384452504","1446300345760550915","rnsnjun"
"1865756972173463827","Sun Dec 08 13:55:00 +0000 2024","0","Apalah anjir musim hujan malah radang bm mie gacoan padahal","1865756972173463827","","","in","","0","0","0","https://x.com/classicalruby/status/1865756972173463827","2912354004","classicalruby"
"1865753278782554425","Sun Dec 08 13:40:20 +0000 2024","0","Mie Gacoan Di Shopee Food lagi diskon 50% Bebas pilih menu klaim diskon sekarang sebelum kehabisan Kalah Rabo Karno Dosen Bang Doel #Bisadipegang Hilda #AzarineGlowRevo Nabrak Cambodia Oscar Suriah","1865753278782554425","","","in","Surabaya","0","0","0","https://x.com/haribebaz/status/1865753278782554425","115960170","haribebaz"
"1865751000554090568","Sun Dec 08 13:31:17 +0000 2024","0","Anjir sih ini ngaretnya keterlaluan https://t.co/1OCW1F4416","1865751000554090568","https://pbs.twimg.com/media/GeR6oWZbQAAtbbU.jpg","","in","","0","0","0","https://x.com/oingoingmong/status/1865751000554090568","1597652632218529793","oingoingmong"
"1865750008433352860","Sun Dec 08 13:27:20 +0000 2024","0","Untungnya belom mulai anjir bngt lu maen gendong2 di leher aja","1865750008433352860","","","in","","0","0","0","https://x.com/oingoingmong/status/1865750008433352860","1597652632218529793","oingoingmong"
"1865090184322445390","Sun Dec 08 12:54:07 +0000 2024","0","@Pochinkidz Udah beli aja mie gacoan sekardus ay ","1865741647470002388","","Pochinkidz","in","Indonesia","0","1","0","https://x.com/flaveorish/status/1865741647470002388","1765691815087443969","flaveorish"
"1865714834379284584","Sun Dec 08 12:50:16 +0000 2024","0","@helene_elkoomii makanku emg byk gacoan aja beli satu menu mie gorengan 3 macem minuman 3 macem apalah diriku ini","1865740680657862817","","helene_elkoomii","in","","0","1","0","https://x.com/kayllee132/status/1865740680657862817","1682338691916926977","kayllee132"
"1865732286806982861","Sun Dec 08 12:16:55 +0000 2024","0","Enaknya masak apa ges mau bikin mie kari tadi dah makan gacoan","1865732286806982861","","","in","","0","1","0","https://x.com/chanztjn/status/1865732286806982861","1699400399491600384","chanztjn"
"1865730083916542430","Sun Dec 08 12:08:10 +0000 2024","1","ujan ujan mam gacoan or mie ayam?","1865730083916542430","","","in","","0","2","0","https://x.com/capcintaa/status/1865730083916542430","1635574762452967425","capcintaa"
"1865730067697217851","Sun Dec 08 12:08:06 +0000 2024","0","Yang ga suka antri kalau makan di mie gacoan bisa order online saja by shopeefood ya.. ini link nya silakan cek dulu pilih lokasi yang terdekat dari lokasi kalian. Diskon mie gacoan https://t.co/Ael8d7jQRy","1865730067697217851","","","in","","0","0","0","https://x.com/ike_tjn/status/1865730067697217851","513346093","ike_tjn"
"1865718287579099295","Sun Dec 08 11:55:39 +0000 2024","0","@AR_Harlani Gue masih bisa mie lain except gacoan ","1865726936385012176","","AR_Harlani","in","","0","1","0","https://x.com/erinarain13/status/1865726936385012176","1148209824145920000","erinarain13"
"1865700661012443622","Sun Dec 08 11:45:30 +0000 2024","0","@escliqce KOK GT SDIH BGT DIGITUIN.. AK MAKAN GACOAN LEVEL 0 MIE SUIT LAGI ","1865724381064024441","","escliqce","in","dnf.","0","1","0","https://x.com/cirqcuit/status/1865724381064024441","1699654491300331520","cirqcuit"
"1865681730197496070","Sun Dec 08 08:56:01 +0000 2024","0","Mosok jalan kaki dari KL 7 ke Megatrust Biar bisa makan mie gacoan bersama Hololive Indonesia ","1865681730197496070","","","in","Kota Dumai, Riau","0","0","0","https://x.com/holofanzer/status/1865681730197496070","1804742429935079424","holofanzer"
"1865678454672507095","Sun Dec 08 08:43:00 +0000 2024","0","Ngimpi makan mie gacoan bersama Hololive Indonesia ","1865678454672507095","","","in","Kota Dumai, Riau","0","0","0","https://x.com/holofanzer/status/1865678454672507095","1804742429935079424","holofanzer"
"1865666003214184661","Sun Dec 08 07:53:32 +0000 2024","0","ini gua yang laper atau emang porsi mie gacoan jadi lebih sedikit?","1865666003214184661","","","in","","0","0","0","https://x.com/mooncyssz/status/1865666003214184661","1780842616055283712","mooncyssz"
"1865665432491110408","Sun Dec 08 07:51:16 +0000 2024","0","Mie Gacoan Magelang: Tempat Makan Kekinian dengan Harga Terjangkau yang Selalu Ramai https://t.co/8GszvwfI2e","1865665432491110408","","","in","","0","0","0","https://x.com/KlikindonesiaC/status/1865665432491110408","1515181720102121475","KlikindonesiaC"
"1865662106475085948","Sun Dec 08 07:38:03 +0000 2024","0","Pake buka jas si han mahh wkwk","1865662106475085948","","","in","","0","0","0","https://x.com/oingoingmong/status/1865662106475085948","1597652632218529793","oingoingmong"
"1865654510309511216","Sun Dec 08 07:10:25 +0000 2024","0","@budibongg Bismillahirrahmanirrahim Bwt jajan anakku pingin Mie gacoan","1865655153824854324","","budibongg","in","Yogyakarta, Indonesia","0","0","0","https://x.com/MiePank_75/status/1865655153824854324","1844711957787758592","MiePank_75"
"1865653246620311793","Sun Dec 08 07:02:50 +0000 2024","0","Mie gacoan yg msh bisa dinikmati pedasnya sih lev 3 .. udh mentok . Ga pedes bgt .. rsa kek gurih ..manis jg msh kerasa ...️","1865653246620311793","","","in","Seoul, Republic of Korea","0","0","0","https://x.com/kyeomin97/status/1865653246620311793","1061291691414499328","kyeomin97"
"1865610125760950476","Sun Dec 08 07:01:49 +0000 2024","0","@bigwindongsay45 Wangi bgt Kak akunnya . Aku juga mau big win nih . anakku pingin makan mie gacoan nih . bingung lg g punya uang..","1865652989127745540","","bigwindongsay45","in","Yogyakarta, Indonesia","0","0","0","https://x.com/MiePank_75/status/1865652989127745540","1844711957787758592","MiePank_75"
"1865649643008455145","Sun Dec 08 06:48:31 +0000 2024","0","ketika tercium wangi bawang goreng yg pertama kali terlintas di otakku adalah mie gacoan","1865649643008455145","","","in","","0","0","0","https://x.com/inidianind/status/1865649643008455145","1826143084507443200","inidianind"
